method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc
SGDM+WD,128,0.07,0.002,0.5,76.98,0.025587824518680573,77.25
SGDM+WD,128,0.02,0.002,0.7,76.22,0.023264845144748688,76.22
SGDM+WD,128,0.01,0.002,0.7,74.37,0.021649553557634354,74.46
SGDM+WD,128,0.01,0.002,0.5,72.61,0.02636539498925209,72.86
SGDM+WD,128,0.05,0.002,0.5,77.17,0.024372886618375778,77.34
SGDM+WD,128,0.07,0.002,0.8,77.98,0.030098860729932786,78.11
SGDM+WD,128,0.05,0.002,0.8,78.14,0.028110187134742736,78.33
SGDM+WD,128,0.1,0.002,0.8,78.35,0.03313481299519539,78.48
SGDM+WD,128,0.05,0.002,0.7,77.86,0.02592453293323517,77.88
SGDM+WD,128,0.02,0.002,0.8,76.87,0.024410621210336686,77.09
SGDM+WD,128,0.02,0.002,0.5,75.23,0.020979834711551668,75.23
SGDM+WD,128,0.1,0.002,0.5,77.4,0.026631486588716505,77.57
SGDM+WD,128,0.1,0.002,0.7,78.17,0.0292620317196846,78.36
SGDM+WD,128,0.03,0.002,0.8,77.58,0.02565909862756729,77.63
SGDM+WD,128,0.03,0.002,0.5,75.28,0.022707085454463958,75.43
SGDM+WD,128,0.07,0.002,0.7,78.45,0.02724899793982506,78.72
SGDM+WD,128,0.02,0.002,0.95,78.07,0.03233766657590866,78.36
SGDM+WD,128,0.03,0.002,0.7,76.83,0.0245348043012619,76.97
SGDM+WD,128,0.01,0.002,0.95,78.02,0.026131358819007872,78.06
SGDM+WD,128,0.01,0.002,0.8,75.84,0.021429521495103836,76.06
SGDM+WD,128,0.1,0.002,0.95,70.43,0.43890745469093323,70.43
SGDM+WD,128,0.01,0.002,0.99,73.68,0.17282975353240967,73.68
SGDM+WD,128,0.02,0.002,0.99,66.06,0.7592741372299194,66.06
SGDM+WD,128,0.05,0.002,0.95,75.62,0.07517779167890548,75.65
SGDM+WD,128,0.1,0.002,0.99,23.66,3.0779016484069825,23.66
SGDM+WD,128,0.07,0.002,0.99,25.18,3.0431943322753905,25.18
SGDM+WD,128,0.03,0.002,0.95,77.68,0.03908992734909058,77.82
SGDM+WD,128,0.03,0.002,0.99,58.13,1.3190981967163087,58.13
SGDM+WD,128,0.07,0.002,0.95,73.86,0.1738212367916107,73.96
SGDM+WD,128,0.05,0.002,0.99,34.15,2.569267442703247,34.15
