batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc
128,0.005,1e-05,0.9,72.58,0.0064080655387043954,72.84
128,0.005,5e-05,0.9,72.63,0.0067939699509739875,72.67
128,0.005,0.0001,0.9,73.06,0.006853034727573395,73.32
128,0.005,0.0005,0.9,73.32,0.010474398184120656,73.67
32,0.005,0.0005,0.9,76.62,0.011672790431976318,76.63
32,0.005,0.001,0.9,77.54,0.019470983979701997,77.8
32,0.02,1e-05,0.9,73.4,0.004348959221839904,73.45
32,0.1,0.0001,0.9,75.85,0.007494117035865784,75.92
32,0.005,0.005,0.9,77.07,0.09690313583374023,77.35
32,0.3,5e-05,0.9,76.23,0.008893616087436676,76.38
32,0.1,0.0005,0.9,76.56,0.0511440897154808,76.66
32,0.02,0.0005,0.9,78.1,0.014695378313064575,78.26
32,0.2,0.005,0.9,1.0,4.60522109375,2.84
32,0.3,0.0005,0.9,67.14,0.7839177515029907,67.14
32,0.05,0.0001,0.9,75.16,0.006248838062286377,75.27
32,0.01,0.005,0.9,77.0,0.15679278143882752,77.18
32,0.02,0.0001,0.9,75.37,0.00616693286895752,75.49
32,0.3,0.001,0.9,30.37,2.858684644012451,30.37
32,0.3,0.005,0.9,1.0,4.605171875,1.17
32,0.05,1e-05,0.9,72.95,0.0035880734539031982,72.98
32,0.05,0.005,0.9,56.81,1.5548763582611085,56.81
32,0.005,0.0001,0.9,74.46,0.007435025429725647,74.84
32,0.01,0.001,0.9,78.13,0.021404848351478576,78.4
32,0.2,5e-05,0.9,74.44,0.006959341411590576,74.58
32,0.01,5e-05,0.9,74.2,0.00573300379037857,74.63
32,0.1,1e-05,0.9,71.7,0.003915394763946534,71.85
32,0.02,0.005,0.9,74.62,0.397905776720047,74.62
32,0.3,1e-05,0.9,72.4,0.005045683913230896,72.62
32,0.3,0.0001,0.9,76.28,0.016999465799331665,76.45
32,0.05,0.001,0.9,77.16,0.056923999960422515,77.38
32,0.2,0.0001,0.9,75.89,0.01129018513917923,76.15
32,0.2,0.001,0.9,64.08,1.0922150798797607,64.08
32,0.2,1e-05,0.9,71.96,0.004421807224750519,72.08
32,0.05,0.0005,0.9,77.24,0.02359909758090973,77.24
32,0.2,0.0005,0.9,74.28,0.18244532292366028,74.28
32,0.02,0.001,0.9,78.16,0.027092834141254424,78.49
32,0.1,0.005,0.9,1.0,4.6054284375,5.71
32,0.005,5e-05,0.9,73.88,0.006484381074905395,74.05
32,0.02,5e-05,0.9,74.07,0.005034224481582641,74.28
32,0.005,1e-05,0.9,73.54,0.0059321310377120975,73.85
32,0.01,0.0005,0.9,77.46,0.012500060226917267,77.61
32,0.01,1e-05,0.9,73.93,0.005477226958274841,73.94
32,0.05,5e-05,0.9,73.86,0.005258564989566803,73.92
32,0.1,5e-05,0.9,74.48,0.005435780758857727,74.67
32,0.01,0.0001,0.9,74.68,0.006470909051895141,74.76
32,0.1,0.001,0.9,74.68,0.23985686159610747,74.68
128,0.005,0.001,0.9,74.44,0.014327529820203782,74.65
128,0.005,0.005,0.9,77.45,0.052618704245090485,77.56
128,0.3,0.0005,0.9,75.95,0.01980389610648155,76.08
128,0.3,0.001,0.9,72.85,0.1099987696647644,72.99
128,0.3,0.005,0.9,22.62,3.1959204528045655,22.62
128,0.01,0.0001,0.9,73.54,0.005440378052890301,73.54
128,0.01,5e-05,0.9,73.07,0.004624259355664254,73.48
128,0.02,0.0001,0.9,73.59,0.004319547853171826,73.82
128,0.02,0.005,0.9,77.78,0.06962765515565872,77.78
128,0.05,1e-05,0.9,73.04,0.0023584308861941097,73.22
128,0.02,5e-05,0.9,73.74,0.003561498978063464,73.85
128,0.01,1e-05,0.9,72.95,0.004335750648975372,73.17
128,0.05,0.001,0.9,77.81,0.016438498530983926,77.96
128,0.2,0.0005,0.9,76.32,0.0150744290214777,76.44
128,0.2,5e-05,0.9,72.59,0.003518225856125355,72.62
128,0.05,0.005,0.9,75.57,0.2169592577934265,75.57
128,0.1,0.001,0.9,77.52,0.02096688148021698,77.59
128,0.02,0.0005,0.9,75.98,0.00881392462015152,76.18
128,0.05,5e-05,0.9,73.31,0.003166651449799538,73.37
128,0.02,1e-05,0.9,72.87,0.0030393518280237915,73.01
128,0.01,0.0005,0.9,74.91,0.009501563406288624,75.2
128,0.01,0.005,0.9,77.21,0.05618208097457886,77.47
128,0.02,0.001,0.9,77.43,0.014956674896478653,77.63
128,0.05,0.0005,0.9,77.0,0.009636759583950043,77.0
128,0.05,0.0001,0.9,74.11,0.003908560802936554,74.3
128,0.2,0.0001,0.9,75.08,0.004457149734646082,75.3
128,0.1,0.0005,0.9,77.22,0.011134478466510772,77.38
128,0.3,5e-05,0.9,73.84,0.0033548264287412166,74.06
128,0.01,0.001,0.9,75.5,0.013027217213511468,75.69
128,0.1,0.0001,0.9,73.6,0.004477585713863373,73.77
128,0.1,5e-05,0.9,72.33,0.003340130386352539,72.75
128,0.2,0.005,0.9,33.32,2.6511290593719483,33.32
128,0.1,1e-05,0.9,71.2,0.002548065256997943,71.35
128,0.1,0.005,0.9,68.38,0.8041602180671692,68.5
128,0.2,1e-05,0.9,69.96,0.002172348284572363,70.13
128,0.2,0.001,0.9,75.09,0.04475672004461288,75.09
128,0.3,0.0001,0.9,75.15,0.004445991776138544,75.29
128,0.3,1e-05,0.9,70.4,0.001818071567993611,70.77
